DisNo.,Disaster Type,ISO,Country,Start Date,End Date,Total Deaths,No. Affected,Admin1,Admin1 Code
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Mombasa,KEN_Mombasa
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Kwale,KEN_Kwale
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Kilifi,KEN_Kilifi
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Tana River,KEN_Tana River
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Lamu,KEN_Lamu
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Taita-Taveta,KEN_Taita Taveta
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Garissa,KEN_Garissa
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Wajir,KEN_Wajir
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Mandera,KEN_Mandera
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Marsabit,KEN_Marsabit
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Isiolo,KEN_Isiolo
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Meru,KEN_Meru
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Embu,KEN_Embu
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Kitui,KEN_Kitui
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Machakos,KEN_Machakos
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Makueni,KEN_Makueni
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Nyandarua,KEN_Nyandarua
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Nyeri,KEN_Nyeri
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Kirinyaga,KEN_Kirinyaga
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Murang'a,KEN_Murang'a
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Kiambu,KEN_Kiambu
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Turkana,KEN_Turkana
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,West Pokot,KEN_West Pokot
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Samburu,KEN_Samburu
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Trans Nzoia,KEN_Trans Nzoia
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Uasin Gishu,KEN_Uasin Gishu
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Elgeyo-Marakwet,KEN_Elgeyo-Marakwet
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Nandi,KEN_Nandi
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Baringo,KEN_Baringo
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Laikipia,KEN_Laikipia
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Nakuru,KEN_Nakuru
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Narok,KEN_Narok
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Kajiado,KEN_Kajiado
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Kericho,KEN_Kericho
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Bomet,KEN_Bomet
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Kakamega,KEN_Kakamega
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Vihiga,KEN_Vihiga
2026-0153-KEN,Flood,KEN,Kenya,2026-03-06,2026-03-31,59,,Bungoma,KEN_Bungoma
