DisNo.,Disaster Type,ISO,Country,Start Date,End Date,Total Deaths,No. Affected,Admin1,Admin1 Code
FAO-VIIRS-MDG,Flood,MDG,MDG,2024-11-16,2024-11-30,,3477,Alaotra Mangoro,MDG_Alaotra-Mangoro
FAO-VIIRS-MDG,Flood,MDG,MDG,2024-11-16,2024-11-30,,43902,Analanjirofo,MDG_Analanjirofo
FAO-VIIRS-MDG,Flood,MDG,MDG,2024-11-16,2024-11-30,,17147,Anosy,MDG_Anosy
FAO-VIIRS-MDG,Flood,MDG,MDG,2024-11-16,2024-11-30,,6254,Atsimo Andrefana,MDG_Atsimo-Andrefana
FAO-VIIRS-MDG,Flood,MDG,MDG,2024-11-16,2024-11-30,,31692,Atsimo Atsinanana,MDG_Atsimo-Atsinanana
FAO-VIIRS-MDG,Flood,MDG,MDG,2024-11-16,2024-11-30,,45128,Atsinanana,MDG_Atsinanana
FAO-VIIRS-MDG,Flood,MDG,MDG,2024-11-16,2024-11-30,,2429,Betsiboka,MDG_Betsiboka
FAO-VIIRS-MDG,Flood,MDG,MDG,2024-11-16,2024-11-30,,75050,Boeny,MDG_Boeny
FAO-VIIRS-MDG,Flood,MDG,MDG,2024-11-16,2024-11-30,,48136,Diana,MDG_Diana
FAO-VIIRS-MDG,Flood,MDG,MDG,2024-11-16,2024-11-30,,10075,Melaky,MDG_Melaky
FAO-VIIRS-MDG,Flood,MDG,MDG,2024-11-16,2024-11-30,,8818,Menabe,MDG_Menabe
FAO-VIIRS-MDG,Flood,MDG,MDG,2024-11-16,2024-11-30,,27610,Sava,MDG_Sava
FAO-VIIRS-MDG,Flood,MDG,MDG,2024-11-16,2024-11-30,,18926,Sofia,MDG_Sofia
FAO-VIIRS-MDG,Flood,MDG,MDG,2024-11-16,2024-11-30,,53083,Vatovavy Fitovinany,MDG_Vatovavy-Fitovinany
FAO-VIIRS-MWI,Flood,MWI,MWI,2024-11-16,2024-11-30,,211520,Central,MWI_Central Region
FAO-VIIRS-MWI,Flood,MWI,MWI,2024-11-16,2024-11-30,,213403,Northern,MWI_Northern Region
FAO-VIIRS-MWI,Flood,MWI,MWI,2024-11-16,2024-11-30,,201863,Southern,MWI_Southern Region
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,1635,Abyei PCA,SDN_Abyei PCA
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,103059,Blue Nile,SDN_Blue Nile
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,403,Central Darfur,SDN_Central Darfur
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,98598,East Darfur,SDN_East Darfur
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,56950,Gedaref,SDN_Gedaref
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,23604,Kassala,SDN_Kassala
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,1248369,Khartoum,SDN_Khartoum
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,22373,North Darfur,SDN_North Darfur
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,28026,North Kordofan,SDN_North Kordofan
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,116446,Northern,SDN_Northern
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,212231,Red Sea,SDN_Red Sea
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,285106,River Nile,SDN_River Nile
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,183103,Sennar,SDN_Sennar
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,12636,South Darfur,SDN_South Darfur
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,8385,South Kordofan,SDN_South Kordofan
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,39753,West Kordofan,SDN_West Kordofan
FAO-VIIRS-SDN,Flood,SDN,SDN,2024-11-16,2024-11-30,,282818,White Nile,SDN_White Nile
FAO-VIIRS-SOM,Flood,SOM,SOM,2024-11-16,2024-11-30,,9509,Awdal,SOM_Awdal
FAO-VIIRS-SOM,Flood,SOM,SOM,2024-11-16,2024-11-30,,561738,Banadir,SOM_Banadir
FAO-VIIRS-SOM,Flood,SOM,SOM,2024-11-16,2024-11-30,,9601,Bari,SOM_Bari
FAO-VIIRS-SOM,Flood,SOM,SOM,2024-11-16,2024-11-30,,5974,Galgaduud,SOM_Galgaduud
FAO-VIIRS-SOM,Flood,SOM,SOM,2024-11-16,2024-11-30,,4100,Gedo,SOM_Gedo
