DisNo.,Disaster Type,ISO,Country,Start Date,End Date,Total Deaths,No. Affected,Admin1,Admin1 Code
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-03,2024-11-03,,,Central Equatoria,SSD_Central Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-04,2024-11-04,,,Central Equatoria,SSD_Central Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-05,2024-11-05,,,Central Equatoria,SSD_Central Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-06,2024-11-06,,,Central Equatoria,SSD_Central Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-07,2024-11-07,,,Central Equatoria,SSD_Central Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-23,2024-11-23,,,Central Equatoria,SSD_Central Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-24,2024-11-24,,,Central Equatoria,SSD_Central Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-25,2024-11-25,,,Central Equatoria,SSD_Central Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-26,2024-11-26,,,Central Equatoria,SSD_Central Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-27,2024-11-27,,,Central Equatoria,SSD_Central Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-03,2024-11-03,,,Eastern Equatoria,SSD_Eastern Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-04,2024-11-04,,,Eastern Equatoria,SSD_Eastern Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-05,2024-11-05,,,Eastern Equatoria,SSD_Eastern Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-06,2024-11-06,,,Eastern Equatoria,SSD_Eastern Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-07,2024-11-07,,,Eastern Equatoria,SSD_Eastern Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-23,2024-11-23,,,Eastern Equatoria,SSD_Eastern Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-24,2024-11-24,,,Eastern Equatoria,SSD_Eastern Equatoria
