emdat_code,admin1_pcode
COM_Ngazidja,COM_Grande Comore
KEN_Central,KEN_Kiambu
KEN_Central,KEN_Kirinyaga
KEN_Central,KEN_Murang'a
KEN_Central,KEN_Nyandarua
KEN_Central,KEN_Nyeri
KEN_Coast,KEN_Kilifi
KEN_Coast,KEN_Kwale
KEN_Coast,KEN_Lamu
KEN_Coast,KEN_Mombasa
KEN_Coast,KEN_Taita Taveta
KEN_Coast,KEN_Tana River
KEN_North Eastern,KEN_Garissa
KEN_North Eastern,KEN_Mandera
KEN_North Eastern,KEN_Wajir
KEN_Nyanza,KEN_Homa Bay
KEN_Nyanza,KEN_Kisii
KEN_Nyanza,KEN_Kisumu
KEN_Nyanza,KEN_Migori
KEN_Nyanza,KEN_Nyamira
KEN_Nyanza,KEN_Siaya
KEN_Rift Valley,KEN_Baringo
KEN_Rift Valley,KEN_Bomet
KEN_Rift Valley,KEN_Elgeyo-Marakwet
KEN_Rift Valley,KEN_Kajiado
KEN_Rift Valley,KEN_Kericho
KEN_Rift Valley,KEN_Laikipia
KEN_Rift Valley,KEN_Nakuru
KEN_Rift Valley,KEN_Nandi
KEN_Rift Valley,KEN_Narok
KEN_Rift Valley,KEN_Samburu
KEN_Rift Valley,KEN_Trans Nzoia
KEN_Rift Valley,KEN_Turkana
KEN_Rift Valley,KEN_Uasin Gishu
KEN_Rift Valley,KEN_West Pokot
KEN_Western,KEN_Bungoma
KEN_Western,KEN_Busia
KEN_Western,KEN_Kakamega
KEN_Western,KEN_Vihiga
MDG_Alaotra Mangoro,MDG_Alaotra-Mangoro
MDG_Atsimo Atsinanana,MDG_Atsimo-Atsinanana
RWA_Kigali City/Umujyi wa Kigali,RWA_City of Kigali
RWA_North/Amajyaruguru,RWA_Northern Province
RWA_South/Amajyepfo,RWA_Southern Province
RWA_West/Iburengerazuba,RWA_Western Province
SDN_Al Jazeera,SDN_Gezira
SDN_Gadaref,SDN_Gedaref
SDN_Nile,SDN_River Nile
SDN_Northern Darfur,SDN_North Darfur
SDN_Northern Kordofan,SDN_North Kordofan
SDN_Southern Darfur,SDN_South Darfur
