gadm_gid,admin1_pcode
BDI.11_1,BDI_Bujumbura Mairie
BDI.13_1,BDI_Bujumbura Mairie
BDI.16_1,BDI_Bujumbura Mairie
BDI.17_1,BDI_Bujumbura Rural
BDI.1_1,BDI_Bubanza
BDI.2_1,BDI_Bujumbura Rural
BDI.3_1,BDI_Cibitoke
BDI.4_1,BDI_Rutana
BDI.6_1,BDI_Muyinga
ETH.10_1,ETH_Dire Dawa
ETH.2_1,ETH_Afar
ETH.3_1,ETH_Amhara
ETH.5_1,ETH_SNNPR
ETH.6_1,ETH_Gambela
ETH.8_1,ETH_Oromia
ETH.9_1,ETH_Somali
KEN.30_1,KEN_Nairobi
RWA.1_1,RWA_Northern Province
RWA.2_1,RWA_City of Kigali
RWA.5_1,RWA_City of Kigali
SDN.13_1,SDN_Blue Nile
SDN.14_1,SDN_Khartoum
SDN.18_1,SDN_Sennar
SDN.1_1,SDN_South Darfur
SDN.2_1,SDN_West Darfur
SDN.3_1,SDN_White Nile
SDN.4_1,SDN_South Kordofan
SDN.5_1,SDN_North Kordofan
SDN.7_1,SDN_Gedaref
SOM.10_1,SOM_Bakool
SOM.11_1,SOM_Bay
SOM.12_1,SOM_Mudug
SOM.13_1,SOM_Bay
SOM.14_1,SOM_Banadir
SOM.15_1,SOM_Galgaduud
SOM.16_1,SOM_Gedo
SOM.17_1,SOM_Hiiraan
SOM.1_1,SOM_Awdal
SOM.2_1,SOM_Gedo
SOM.3_1,SOM_Hiiraan
SOM.4_1,SOM_Mudug
SOM.5_1,SOM_Mudug
SOM.6_1,SOM_Nugaal
SOM.7_1,SOM_Sool
SOM.8_1,SOM_Togdheer
SOM.9_1,SOM_Mudug
SSD.6_1,SSD_Unity
TZA.10_1,TZA_Lindi
TZA.14_1,TZA_Morogoro
TZA.15_1,TZA_Mtwara
TZA.16_1,TZA_Mwanza
TZA.1_1,TZA_Arusha
TZA.22_1,TZA_Ruvuma
TZA.27_1,TZA_Dar es Salaam
TZA.28_1,TZA_Kilimanjaro
TZA.2_1,TZA_Dar es Salaam
TZA.5_1,TZA_Iringa
TZA.6_1,TZA_Tanga
TZA.9_1,TZA_Kagera
UGA.16_1,UGA_Central Region
UGA.21_1,UGA_Western Region
UGA.26_1,UGA_Western Region
